date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:38	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2003%20Oct%202024%2014:18:38%20GMT	http://aquaterias.like-themes.com/robots.txt		(from )
14:18:39	146354/146354	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:18:39%20GMT	http://aquaterias.like-themes.com/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/index.html	(from )
14:18:39	291/291	---M--	403	error ('Forbidden')	text/html	date:Thu,%2003%20Oct%202024%2014:18:40%20GMT	http://aquaterias.like-themes.com/xmlrpc.php	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/xmlrpc.php	(from http://aquaterias.like-themes.com/)
14:18:42	6738/6738	---M--	200	added ('OK')	text/css	etag:%221a52-5a8091811f62d%22	http://aquaterias.like-themes.com/wp-content/cache/autoptimize/css/autoptimize_dcb2de333eec7ab4ae31385ed8d6a393.css	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/cache/autoptimize/css/autoptimize_dcb2de333eec7ab4ae31385ed8d6a393.css	(from http://aquaterias.like-themes.com/)
14:18:46	46358/46358	---M--	200	added ('OK')	text/css	etag:%22b516-582c05ab9a2bb%22	http://aquaterias.like-themes.com/wp-includes/css/dashicons.min.css?ver=5.1.19	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-includes/css/dashicons.minffe1.css	(from http://aquaterias.like-themes.com/)
14:18:48	752/752	---M--	200	added ('OK')	application/rss+xml	etag:%22a24ca00fe6fed35710d29f84a61bbecc%22	http://aquaterias.like-themes.com/comments/feed/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/comments/feed/index.html	(from http://aquaterias.like-themes.com/)
14:18:51	242/242	---M--	200	added ('OK')	text/calendar	date:Thu,%2003%20Oct%202024%2014:18:47%20GMT	http://aquaterias.like-themes.com/events/?ical=1	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/events/indexedf3.html	(from http://aquaterias.like-themes.com/)
14:18:53	1519/1519	---M--	200	added ('OK')	image/png	etag:%225ef-582c15d87c60c%22	http://aquaterias.like-themes.com/wp-content/uploads/2017/12/heading-bg.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2017/12/heading-bg.png	(from http://aquaterias.like-themes.com/)
14:18:57	1356106/1356106	---M--	200	added ('OK')	text/css	etag:%2214b14a-5bffb90a295b4%22	http://aquaterias.like-themes.com/wp-content/cache/autoptimize/css/autoptimize_8d6bfa676b4b004306924c006cb21bb0.css	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/cache/autoptimize/css/autoptimize_8d6bfa676b4b004306924c006cb21bb0.css	(from http://aquaterias.like-themes.com/)
14:18:58	27789/27789	---MC-	200	added ('OK')	application/rss+xml	etag:%2234e7190f91308538b7c55c3f86c56236%22	http://aquaterias.like-themes.com/feed/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/feed/index.html	(from http://aquaterias.like-themes.com/)
14:18:58	2936/2936	---M--	200	added ('OK')	image/png	etag:%22b78-582c15d87a6cc%22	http://aquaterias.like-themes.com/wp-content/uploads/2017/12/go-top.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2017/12/go-top.png	(from http://aquaterias.like-themes.com/)
14:18:58	291/291	---M--	403	error ('Forbidden')	text/html	date:Thu,%2003%20Oct%202024%2014:18:59%20GMT	http://aquaterias.like-themes.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/xmlrpc0db0.php	(from http://aquaterias.like-themes.com/)
14:18:59	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-582c00ad0fbf2%22	http://aquaterias.like-themes.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-includes/wlwmanifest.xml	(from http://aquaterias.like-themes.com/)
14:19:00	2345/2345	---M--	200	added ('OK')	application/json	date:Thu,%2003%20Oct%202024%2014:19:00%20GMT	http://aquaterias.like-themes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Faquaterias.like-themes.com%2F	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-json/oembed/1.0/embedf0cd.json	(from http://aquaterias.like-themes.com/)
14:19:02	2440/2440	---M--	200	added ('OK')	text/xml	date:Thu,%2003%20Oct%202024%2014:19:01%20GMT	http://aquaterias.like-themes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Faquaterias.like-themes.com%2F&format=xml	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-json/oembed/1.0/embed9613	(from http://aquaterias.like-themes.com/)
14:19:03	5050/5050	---M--	200	added ('OK')	image/png	etag:%2213ba-582c1a321adba%22	http://aquaterias.like-themes.com/wp-content/uploads/2017/12/cropped-favicon-7-100x100.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2017/12/cropped-favicon-7-100x100.png	(from http://aquaterias.like-themes.com/)
14:19:09	27273/27273	---MC-	200	added ('OK')	application/json	date:Thu,%2003%20Oct%202024%2014:19:04%20GMT	http://aquaterias.like-themes.com/wp-json/tribe/events/v1/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-json/tribe/events/v1/index.html	(from http://aquaterias.like-themes.com/)
14:19:12	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%2217a69-591c65c0bbd40%22	http://aquaterias.like-themes.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://aquaterias.like-themes.com/)
14:19:16	43332/43332	---M--	200	added ('OK')	image/png	etag:%22a944-582c1a30c8f73%22	http://aquaterias.like-themes.com/wp-content/uploads/2017/12/cropped-favicon-7-300x300.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2017/12/cropped-favicon-7-300x300.png	(from http://aquaterias.like-themes.com/)
14:19:17	5225/5225	---M--	200	added ('OK')	image/png	etag:%221469-582c15d88c00c%22	http://aquaterias.like-themes.com/wp-content/uploads/2017/12/logo.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2017/12/logo.png	(from http://aquaterias.like-themes.com/)
14:19:21	90229/90229	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Oct%202024%2014:19:18%20GMT	http://aquaterias.like-themes.com/404-page	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/404-page	(from http://aquaterias.like-themes.com/)
14:19:22	50444/50444	---M--	200	added ('OK')	image/jpeg	etag:%22c50c-582c15d9f64f4%22	http://aquaterias.like-themes.com/wp-content/uploads/2018/01/water_separator.jpg?id=3166	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2018/01/water_separatorb581.jpg	(from http://aquaterias.like-themes.com/)
14:19:23	131708/131708	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:19:22%20GMT	http://aquaterias.like-themes.com/cart/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/cart/index.html	(from http://aquaterias.like-themes.com/)
14:19:24	147127/147127	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:19:23%20GMT	http://aquaterias.like-themes.com/homepage-mineral-water/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/homepage-mineral-water/index.html	(from http://aquaterias.like-themes.com/)
14:19:25	138569/138569	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:19:25%20GMT	http://aquaterias.like-themes.com/homepage-natural-water/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/homepage-natural-water/index.html	(from http://aquaterias.like-themes.com/)
14:19:27	121520/121520	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:19:26%20GMT	http://aquaterias.like-themes.com/about-us-aqua/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/about-us-aqua/index.html	(from http://aquaterias.like-themes.com/)
14:19:33	219574/219574	---M--	200	added ('OK')	image/jpeg	etag:%22359b6-582c15d8fc4ef%22	http://aquaterias.like-themes.com/wp-content/uploads/2018/01/inner_slide_40percent.jpg	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2018/01/inner_slide_40percent.jpg	(from http://aquaterias.like-themes.com/)
14:19:34	103357/103357	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:19:34%20GMT	http://aquaterias.like-themes.com/testimonials/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/testimonials/index.html	(from http://aquaterias.like-themes.com/)
14:19:35	1222/1222	---M--	200	added ('OK')	image/png	etag:%224c6-582c15d8f384f%22	http://aquaterias.like-themes.com/wp-content/uploads/2018/01/icon-blue-1.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2018/01/icon-blue-1.png	(from http://aquaterias.like-themes.com/)
14:19:36	98043/98043	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:19:36%20GMT	http://aquaterias.like-themes.com/team/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/team/index.html	(from http://aquaterias.like-themes.com/)
14:19:37	2651/2651	---M--	200	added ('OK')	image/png	etag:%22a5b-582c15d8f47ef%22	http://aquaterias.like-themes.com/wp-content/uploads/2018/01/icon-blue-2.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2018/01/icon-blue-2.png	(from http://aquaterias.like-themes.com/)
14:19:38	104226/104226	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:19:38%20GMT	http://aquaterias.like-themes.com/faq/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/faq/index.html	(from http://aquaterias.like-themes.com/)
14:19:39	1232/1232	---M--	200	added ('OK')	image/png	etag:%224d0-582c15d8f47ef%22	http://aquaterias.like-themes.com/wp-content/uploads/2018/01/icon-blue-3.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2018/01/icon-blue-3.png	(from http://aquaterias.like-themes.com/)
14:19:40	105918/105918	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:19:40%20GMT	http://aquaterias.like-themes.com/shop/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/shop/index.html	(from http://aquaterias.like-themes.com/)
14:19:41	1720/1720	---M--	200	added ('OK')	image/png	etag:%226b8-582c15d8f578f%22	http://aquaterias.like-themes.com/wp-content/uploads/2018/01/icon-blue-4.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2018/01/icon-blue-4.png	(from http://aquaterias.like-themes.com/)
14:19:42	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202024%2014:19:42%20GMT	http://aquaterias.like-themes.com/checkout/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/checkout/index.html	(from http://aquaterias.like-themes.com/)
14:20:31	545171/545171	---MC-	200	added ('OK')	application/json	date:Thu,%2003%20Oct%202024%2014:18:59%20GMT	http://aquaterias.like-themes.com/wp-json/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-json/index.html	(from http://aquaterias.like-themes.com/)
14:20:32	94513/94513	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:20:32%20GMT	http://aquaterias.like-themes.com/my-account/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/my-account/index.html	(from http://aquaterias.like-themes.com/)
14:20:32	309683/309683	---M--	200	added ('OK')	image/png	etag:%224b9b3-582c15d8ef9cf%22	http://aquaterias.like-themes.com/wp-content/uploads/2018/01/delivery-dark.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2018/01/delivery-dark.png	(from http://aquaterias.like-themes.com/)
14:20:33	4161/4161	---M--	200	added ('OK')	image/png	etag:%221041-582c15d88818c%22	http://aquaterias.like-themes.com/wp-content/uploads/2017/12/label-free.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2017/12/label-free.png	(from http://aquaterias.like-themes.com/)
14:20:35	105395/105395	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:20:34%20GMT	http://aquaterias.like-themes.com/blog-one-column/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/blog-one-column/index.html	(from http://aquaterias.like-themes.com/)
14:20:36	108792/108792	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:20:34%20GMT	http://aquaterias.like-themes.com/blog-two-columns/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/blog-two-columns/index.html	(from http://aquaterias.like-themes.com/)
14:20:37	106153/106153	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:20:37%20GMT	http://aquaterias.like-themes.com/blog-three-columns/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/blog-three-columns/index.html	(from http://aquaterias.like-themes.com/)
14:20:40	12599/12599	---M--	200	added ('OK')	image/png	etag:%223137-582c15d8e3e4e%22	http://aquaterias.like-themes.com/wp-content/uploads/2018/01/bottle-dark-2.png	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/wp-content/uploads/2018/01/bottle-dark-2.png	(from http://aquaterias.like-themes.com/)
14:20:41	93772/93772	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Oct%202024%2014:20:41%20GMT	http://aquaterias.like-themes.com/gallery-2-columns/	C:/My%20Web%20Sites/jelllo/aquaterias.like-themes.com/gallery-2-columns/index.html	(from http://aquaterias.like-themes.com/)
